'object1','object2','at', been-at', 'is-in', 'carry', 'adjacent', 'same-type', 'same-size', 'can-move', 'can-sample', 'can-sample-at'
waypoint1',sample1',0,0,0,0,0,0,0,0,0,0,
waypoint1',sample2',0,0,0,,0,,0,,0,0,
waypoint1',sample3',0,0,0,0,,,0,0,0,0,
waypoint1',sample4',0,0,0,0,0,0,,0,0,0,
waypoint1',sample5',0,,0,,,,0,0,,0,
waypoint1',sample6',0,0,0,0,0,0,0,0,0,0,
waypoint1',sample7',0,0,,0,0,0,,,0,0,
waypoint1',sample8',0,0,0,0,0,0,0,0,0,0,
waypoint1',sample9',0,0,0,0,0,,0,0,,0,
waypoint1',sample10',,0,0,0,0,0,,0,0,0,
waypoint1',sample11',,0,0,0,0,0,,0,0,0,
waypoint1',sample12',0,0,0,0,0,0,0,0,0,0,
waypoint1',sample13',,,0,,,,,0,,0,
waypoint1',sample14',0,,,0,0,0,0,0,0,0,
waypoint1',sample15',0,0,0,0,,0,0,0,0,0,
waypoint1',sample16',0,0,0,0,0,0,0,,0,0,
waypoint1',sample17',,0,,0,0,0,0,0,,0,
waypoint1',sample18',0,0,0,,0,0,0,0,0,0,
waypoint1',sample19',0,0,0,0,0,0,0,0,0,0,
waypoint1',sample20',,0,0,0,0,,,0,,0,
waypoint1',bad_sample0',0,,0,,0,0,,0,0,0,
waypoint1',bad_sample1',0,0,0,0,,0,0,0,0,0,
waypoint1',bad_sample2',0,0,0,0,0,0,0,0,0,0,
waypoint1',bad_sample3',0,0,0,0,0,0,0,0,0,0,
waypoint1',bad_sample4',0,0,0,,,0,,0,0,,
waypoint1',bad_sample5',,0,0,0,,0,0,0,,0,
waypoint1',bad_sample6',,0,0,0,0,0,0,0,,0,
waypoint1',bad_sample7',,0,,,0,0,0,0,0,,
waypoint1',bad_sample8',0,0,0,,0,0,0,0,0,0,
waypoint1',bad_sample9',0,0,0,0,,0,,0,0,0,
waypoint1',bad_sample10',0,0,0,0,0,0,,0,0,,
waypoint1',bad_sample11',0,,0,0,0,,0,0,0,0,
waypoint1',bad_sample12',0,0,0,,0,0,,,0,0,
waypoint1',bad_sample13',,0,0,0,,0,,0,,,
waypoint1',bad_sample14',0,0,0,0,0,0,0,0,0,0,
waypoint1',bad_sample15',0,0,0,0,0,,0,0,0,0,
waypoint1',bad_sample16',0,0,0,0,0,0,0,0,0,,
waypoint1',bad_sample17',0,0,0,0,0,,0,0,0,0,
waypoint1',bad_sample18',0,0,0,,0,0,0,0,0,0,
waypoint1',bad_sample19',,0,,,0,0,0,0,0,,
waypoint1',bad_sample20',0,0,,0,0,0,0,0,0,,
waypoint2',waypoint0',0,,0,0,,0,0,0,0,,
waypoint2',waypoint1',0,0,,0,1,0,0,0,0,0,
waypoint2',waypoint2',0,0,0,0,1,0,0,0,0,0,
waypoint2',waypoint3',0,0,0,0,1,,0,0,,0,
waypoint2',waypoint4',0,0,,,,0,0,0,0,0,
waypoint2',waypoint5',0,,0,0,1,0,,0,0,0,
waypoint2',waypoint6',0,0,0,0,1,0,0,0,0,0,
waypoint2',waypoint7',0,0,0,0,1,0,0,,0,0,
waypoint2',waypoint8',,0,0,,,0,0,0,0,0,
waypoint2',waypoint9',0,,0,0,1,,0,0,0,0,
waypoint2',waypoint10',,,0,0,1,,0,0,,0,
waypoint2',waypoint11',0,,0,0,,0,0,0,0,0,
waypoint2',waypoint12',,0,0,0,1,,0,,0,0,
waypoint2',waypoint13',0,0,0,,,0,0,0,0,0,
waypoint2',waypoint14',0,0,,,1,0,,,0,0,
waypoint2',waypoint15',0,0,0,0,1,,0,0,0,0,
waypoint2',waypoint16',0,0,0,0,1,,0,0,0,0,
waypoint2',waypoint17',0,0,0,0,1,0,0,0,0,0,
waypoint2',waypoint18',0,,0,0,1,0,0,0,,0,
waypoint2',waypoint19',0,0,0,0,1,0,0,0,,0,
waypoint2',waypoint20',,0,0,0,1,0,0,0,0,0,
waypoint2',rover0',0,0,0,0,0,0,0,0,0,,
waypoint2',rover1',0,,,,,,0,0,0,0,
waypoint2',rover2',0,0,,,0,,,0,0,0,
waypoint2',rover3',0,,0,0,,0,0,0,0,0,
waypoint2',rover4',0,0,0,0,0,,,0,0,,
waypoint2',rover5',,0,,0,0,0,0,,,0,
waypoint2',rover6',,0,0,,0,0,0,0,,0,
waypoint2',rover7',,0,,0,0,,0,,0,,
waypoint2',rover8',0,0,0,0,0,0,0,0,,0,
waypoint2',rover9',0,0,,0,0,0,0,0,0,,
waypoint2',rover10',0,0,0,,0,0,0,0,0,0,
waypoint2',rover11',0,0,0,0,,,0,,0,0,
waypoint2',rover12',0,0,0,0,0,0,0,0,0,0,
waypoint2',rover13',0,0,0,0,0,,0,0,0,0,
waypoint2',rover14',,0,0,,,0,0,0,,0,
waypoint2',rover15',0,0,0,0,0,0,0,,,0,
waypoint2',rover16',,,0,0,0,0,0,,0,,
waypoint2',rover17',0,0,0,0,0,0,,0,0,0,
waypoint2',rover18',0,0,0,0,0,0,0,0,0,0,
waypoint2',rover19',0,0,0,0,0,0,,0,0,0,
waypoint2',rover20',0,0,0,0,0,0,0,0,0,0,
waypoint2',sample0',0,0,0,,,0,,,0,0,
waypoint2',sample1',0,,0,0,0,0,0,0,,0,
waypoint2',sample2',0,0,0,0,,,,0,0,0,
waypoint2',sample3',0,0,0,0,0,0,,0,0,0,
waypoint2',sample4',0,0,0,0,0,0,0,0,0,,
waypoint2',sample5',0,0,,0,,0,,0,0,0,
waypoint2',sample6',0,0,,,0,0,,0,0,0,
waypoint2',sample7',0,0,0,0,0,0,,0,,0,
waypoint2',sample8',0,0,,0,0,0,,0,0,0,
waypoint2',sample9',0,0,0,,0,0,0,0,0,0,
waypoint2',sample10',0,0,0,0,0,0,0,,0,0,
waypoint2',sample11',0,0,0,0,0,0,0,0,0,0,
waypoint2',sample12',0,0,0,0,0,,0,,0,0,
waypoint2',sample13',0,0,0,,0,0,0,0,0,0,
waypoint2',sample14',,0,0,,0,0,,0,0,0,
waypoint2',sample15',0,0,0,0,0,0,0,0,,,
waypoint2',sample16',,0,0,0,0,0,0,0,,0,
waypoint2',sample17',0,0,0,0,0,0,0,,0,,
waypoint2',sample18',0,0,0,0,0,0,,0,0,0,
waypoint2',sample19',0,0,0,,0,,0,0,0,,
waypoint2',sample20',0,0,,0,0,0,,0,0,0,
waypoint2',bad_sample0',0,0,0,,0,,0,0,0,0,
waypoint2',bad_sample1',0,0,0,0,,,0,0,0,0,
waypoint2',bad_sample2',0,0,0,0,0,0,0,0,0,0,
waypoint2',bad_sample3',0,0,0,0,,0,0,0,,0,
waypoint2',bad_sample4',0,,0,0,0,0,0,0,0,0,
waypoint2',bad_sample5',,0,0,0,0,0,0,,0,0,
waypoint2',bad_sample6',0,0,,,0,0,0,0,0,0,
waypoint2',bad_sample7',0,0,,0,0,0,0,,,0,
waypoint2',bad_sample8',0,,0,,,,,0,0,0,
waypoint2',bad_sample9',0,0,0,0,0,,0,0,,0,
waypoint2',bad_sample10',0,,0,0,0,0,,0,0,0,
waypoint2',bad_sample11',0,0,0,0,0,0,,0,0,0,
waypoint2',bad_sample12',0,0,,0,0,0,0,0,0,0,
waypoint2',bad_sample13',0,0,0,0,,,0,0,0,0,
waypoint2',bad_sample14',0,0,0,0,,0,0,0,0,0,
waypoint2',bad_sample15',0,0,0,,0,0,0,0,0,,
waypoint2',bad_sample16',0,0,0,0,0,0,0,0,0,0,
waypoint2',bad_sample17',0,0,0,0,,0,0,0,0,0,
waypoint2',bad_sample18',0,0,0,0,0,0,0,0,0,0,
waypoint2',bad_sample19',0,0,0,0,0,0,0,0,0,0,
waypoint2',bad_sample20',0,0,,0,0,0,0,,,0,
waypoint3',waypoint0',0,,0,0,1,0,,0,0,0,
waypoint3',waypoint1',,0,,0,,0,0,0,0,,
waypoint3',waypoint2',0,0,0,0,1,0,0,,0,0,
waypoint3',waypoint3',0,0,0,,1,0,0,0,0,0,
waypoint3',waypoint4',,0,0,0,1,0,0,0,0,0,
waypoint3',waypoint5',0,,0,0,1,0,0,0,0,,
waypoint3',waypoint6',,,,0,1,,0,0,0,,
waypoint3',waypoint7',,0,,,1,0,0,,0,,
waypoint3',waypoint8',0,,0,,1,0,0,,0,0,
waypoint3',waypoint9',0,,,0,1,,,0,0,0,
waypoint3',waypoint10',0,0,0,0,1,,0,0,,0,
waypoint3',waypoint11',0,0,,0,1,,0,0,,0,
waypoint3',waypoint12',0,,0,0,1,0,0,0,0,0,
waypoint3',waypoint13',0,0,0,0,1,0,0,0,0,0,
waypoint3',waypoint14',0,0,0,0,1,0,,,,,
waypoint3',waypoint15',,0,0,0,,0,,0,0,0,
waypoint3',waypoint16',0,0,0,0,1,0,0,,0,0,
waypoint3',waypoint17',,,0,0,1,,0,0,0,,
waypoint3',waypoint18',0,0,0,0,1,0,0,,0,,
waypoint3',waypoint19',0,0,0,,1,0,0,0,0,0,
waypoint3',waypoint20',0,,0,0,1,0,0,0,0,0,
waypoint3',rover0',0,0,,0,0,0,0,0,0,,
waypoint3',rover1',0,,0,,0,0,0,0,0,0,
waypoint3',rover2',0,0,0,0,,0,0,0,,,
waypoint3',rover3',0,0,0,0,,0,0,0,0,0,
waypoint3',rover4',0,0,,0,,0,0,0,0,0,
waypoint3',rover5',0,0,0,0,0,0,0,0,,,
waypoint3',rover6',,0,0,0,,0,0,,0,0,
waypoint3',rover7',0,0,,0,0,0,0,0,0,,
waypoint3',rover8',0,0,,,0,0,,0,0,0,
waypoint3',rover9',0,0,0,0,0,0,0,0,0,0,
waypoint3',rover10',,0,0,0,,,0,0,0,0,
waypoint3',rover11',0,0,0,,0,0,,0,0,0,
waypoint3',rover12',0,0,0,0,0,0,0,,0,0,
waypoint3',rover13',,0,0,0,0,0,0,0,0,0,
waypoint3',rover14',0,0,,0,0,0,0,0,0,0,
waypoint3',rover15',0,0,0,0,0,,0,0,0,0,
waypoint3',rover16',0,0,,0,,,0,0,0,0,
waypoint3',rover17',0,0,0,,0,0,,0,0,0,
waypoint3',rover18',0,0,0,0,,,0,,0,0,
waypoint3',rover19',0,0,0,0,0,0,0,0,0,0,
waypoint3',rover20',0,0,0,0,0,0,0,,,0,
waypoint3',sample0',0,0,0,0,0,0,0,0,,0,
waypoint3',sample1',,0,,0,0,0,0,0,0,0,
waypoint3',sample2',,0,,,,0,0,0,0,0,
waypoint3',sample3',0,0,0,0,0,0,0,0,0,0,
waypoint3',sample4',0,0,0,0,0,,0,0,0,0,
waypoint3',sample5',0,,0,0,0,0,0,0,0,0,
waypoint3',sample6',0,0,,,0,0,,0,0,0,
waypoint3',sample7',0,0,0,0,0,0,0,0,0,0,
waypoint3',sample8',0,0,0,0,0,0,0,,,0,
waypoint3',sample9',0,,0,0,0,,0,0,0,0,
waypoint3',sample10',0,0,0,0,0,0,0,0,0,0,
waypoint3',sample11',0,,0,0,0,0,0,0,0,0,
waypoint3',sample12',,,0,0,0,,0,0,0,0,
waypoint3',sample13',0,0,0,0,0,,0,,0,0,
waypoint3',sample14',0,,0,0,0,0,0,0,0,0,
waypoint3',sample15',,0,0,0,0,0,0,,0,0,
waypoint3',sample16',0,0,0,0,0,0,,0,0,,
waypoint3',sample17',0,,0,0,0,0,0,,,0,
waypoint3',sample18',0,,0,0,,0,0,0,0,,
waypoint3',sample19',0,,0,0,0,0,0,0,0,0,
waypoint3',sample20',,0,0,0,0,0,0,0,0,0,
waypoint3',bad_sample0',,,0,0,0,0,,0,,0,
waypoint3',bad_sample1',0,,0,0,,0,0,0,,0,
waypoint3',bad_sample2',0,0,0,0,0,0,0,0,,0,
waypoint3',bad_sample3',0,0,0,,0,0,,0,0,0,
waypoint3',bad_sample4',0,0,0,0,0,0,0,0,,0,
waypoint3',bad_sample5',0,,0,0,0,0,0,,,0,
waypoint3',bad_sample6',0,0,0,0,0,0,0,0,0,0,
waypoint3',bad_sample7',0,0,,0,0,0,0,0,0,0,
waypoint3',bad_sample8',,,0,0,0,,0,0,0,0,
waypoint3',bad_sample9',0,0,,0,0,0,0,0,0,,
waypoint3',bad_sample10',0,0,,0,0,0,0,0,0,0,
waypoint3',bad_sample11',0,0,0,,0,0,0,0,0,0,
waypoint3',bad_sample12',0,0,0,0,,0,,0,0,0,
waypoint3',bad_sample13',0,0,,,0,0,0,,0,0,
waypoint3',bad_sample14',0,0,,,0,0,0,,,0,
waypoint3',bad_sample15',0,0,0,0,0,0,0,0,0,0,
waypoint3',bad_sample16',0,0,0,0,0,0,0,0,0,0,
waypoint3',bad_sample17',0,0,0,0,0,0,0,0,0,,
waypoint3',bad_sample18',0,0,0,0,0,0,,0,0,0,
waypoint3',bad_sample19',0,0,,0,0,,0,0,,0,
waypoint3',bad_sample20',0,0,0,0,0,0,,0,0,,
waypoint4',waypoint0',0,0,0,0,1,0,0,0,0,0,
waypoint4',waypoint1',,0,0,0,,0,0,0,,0,
waypoint4',waypoint2',0,0,,0,1,0,,0,0,0,
waypoint4',waypoint3',0,0,0,0,,,,0,0,,
waypoint4',waypoint4',0,0,0,,1,0,0,0,0,,
waypoint4',waypoint5',0,0,0,0,1,0,,0,0,0,
waypoint4',waypoint6',0,,0,0,1,0,0,,0,0,
waypoint4',waypoint7',0,0,0,0,1,0,0,0,,0,
waypoint4',waypoint8',0,0,0,0,,0,0,0,,0,
waypoint4',waypoint9',0,,0,0,1,0,0,0,,,
waypoint4',waypoint10',0,,0,0,1,0,,,0,0,
waypoint4',waypoint11',0,0,0,0,1,0,0,0,0,0,
waypoint4',waypoint12',0,0,0,0,1,0,,0,0,0,
waypoint4',waypoint13',0,0,0,,1,,0,0,0,0,
waypoint4',waypoint14',0,,0,0,1,,,,,0,
waypoint4',waypoint15',0,0,,0,,0,0,0,,0,
waypoint4',waypoint16',,,,,1,0,0,0,0,0,
waypoint4',waypoint17',0,0,0,0,1,0,,0,0,0,
waypoint4',waypoint18',0,0,0,,1,,0,0,,0,
waypoint4',waypoint19',0,0,0,0,1,0,0,,,0,
waypoint4',waypoint20',,,0,0,1,0,,0,0,0,
waypoint4',rover0',0,,0,0,0,0,0,,,0,
waypoint4',rover1',0,,0,0,0,0,0,0,0,0,
waypoint4',rover2',,,0,0,0,0,0,,0,0,
waypoint4',rover3',0,0,0,0,0,0,0,0,0,0,
waypoint4',rover4',0,0,0,,0,0,0,,0,0,
waypoint4',rover5',,0,0,0,0,0,0,0,0,,
waypoint4',rover6',0,0,0,0,0,,,0,0,0,
waypoint4',rover7',0,,0,0,,0,0,0,0,0,
waypoint4',rover8',0,0,0,,,,0,0,0,0,
waypoint4',rover9',0,,0,0,0,0,0,0,0,0,
waypoint4',rover10',0,0,0,,,0,0,0,,,
waypoint4',rover11',0,0,,0,0,,0,,0,0,
waypoint4',rover12',0,,0,0,0,0,0,,0,,
waypoint4',rover13',0,0,,0,,0,,0,0,0,
waypoint4',rover14',,0,,0,,0,0,0,0,0,
waypoint4',rover15',0,0,0,,0,0,0,0,0,0,
waypoint4',rover16',0,0,0,0,0,,,0,0,0,
waypoint4',rover17',0,0,0,0,0,0,0,0,0,0,
waypoint4',rover18',0,,,0,,0,0,0,,0,
waypoint4',rover19',0,0,0,0,0,,,0,0,0,
waypoint4',rover20',0,,0,0,,0,,0,0,0,
waypoint4',sample0',0,0,0,,0,0,,0,0,0,
waypoint4',sample1',0,0,,0,,0,0,0,0,0,
waypoint4',sample2',0,0,0,0,0,0,0,0,,0,
waypoint4',sample3',0,,0,0,0,0,0,0,0,0,
waypoint4',sample4',0,0,,0,0,0,0,0,0,0,
waypoint4',sample5',0,,0,0,0,,0,0,,,
waypoint4',sample6',0,0,0,0,0,0,0,0,0,0,
waypoint4',sample7',0,0,0,0,0,0,0,0,0,0,
waypoint4',sample8',0,0,0,,0,0,,0,0,0,
waypoint4',sample9',0,0,0,0,0,,0,,,0,
waypoint4',sample10',0,0,0,,0,,0,0,0,0,
waypoint4',sample11',0,,0,0,0,0,0,,0,,
waypoint4',sample12',0,0,0,0,,0,0,,0,,
waypoint4',sample13',0,0,,0,0,,0,0,0,0,
waypoint4',sample14',0,0,0,0,0,0,0,,,0,
waypoint4',sample15',0,0,,0,0,0,,,0,,
waypoint4',sample16',0,,0,0,,0,0,,0,0,
waypoint4',sample17',0,0,0,0,,0,,0,0,,
waypoint4',sample18',,,0,0,0,,0,0,,0,
waypoint4',sample19',0,0,0,0,0,0,0,0,0,0,
waypoint4',sample20',0,0,,0,0,0,,0,0,0,
waypoint4',bad_sample0',0,,0,0,0,0,,0,0,0,
waypoint4',bad_sample1',0,0,0,,0,0,0,0,0,0,
waypoint4',bad_sample2',0,0,,0,0,0,0,0,0,,
waypoint4',bad_sample3',,0,0,0,0,0,0,0,0,0,
waypoint4',bad_sample4',0,,,0,0,0,0,0,,0,
waypoint4',bad_sample5',,0,,,,0,,,,0,
waypoint4',bad_sample6',,0,,,,,,0,,0,
waypoint4',bad_sample7',0,0,0,0,0,,0,0,0,0,
waypoint4',bad_sample8',0,0,0,0,0,0,,0,0,0,
waypoint4',bad_sample9',0,0,0,0,0,,0,0,0,,
waypoint4',bad_sample10',0,0,0,0,0,0,0,,0,,
waypoint4',bad_sample11',0,0,0,0,0,0,0,0,0,,
waypoint4',bad_sample12',0,0,,0,0,0,0,0,0,0,
waypoint4',bad_sample13',0,0,0,0,0,0,,0,0,0,
waypoint4',bad_sample14',0,0,0,0,0,0,0,0,,,
waypoint4',bad_sample15',0,0,0,0,0,0,0,,0,0,
waypoint4',bad_sample16',0,0,0,0,,0,0,0,0,0,
waypoint4',bad_sample17',0,0,,0,0,0,0,0,0,,
waypoint4',bad_sample18',0,0,,0,0,0,0,0,0,,
waypoint4',bad_sample19',0,0,0,0,0,,0,0,0,0,
waypoint4',bad_sample20',0,0,0,0,0,,,0,0,,
waypoint5',waypoint0',0,0,0,0,1,0,0,0,0,,
waypoint5',waypoint1',,0,0,0,1,0,0,0,0,0,
waypoint5',waypoint2',0,0,0,0,1,0,0,,0,0,
waypoint5',waypoint3',0,,0,0,1,,0,0,0,,
waypoint5',waypoint4',0,,0,0,1,,,0,,,
waypoint5',waypoint5',0,0,0,0,1,0,0,,0,0,
waypoint5',waypoint6',0,0,0,,1,,0,0,0,0,
waypoint5',waypoint7',0,0,,0,1,0,0,,0,,
waypoint5',waypoint8',0,0,,0,1,0,0,,0,0,
waypoint5',waypoint9',0,0,0,0,1,,0,0,0,0,
waypoint5',waypoint10',0,0,0,0,1,0,0,,0,,
waypoint5',waypoint11',0,0,,,,0,0,0,0,,
waypoint5',waypoint12',0,0,0,0,1,0,,0,0,0,
waypoint5',waypoint13',0,0,0,0,1,0,0,0,,0,
waypoint5',waypoint14',0,0,0,0,1,,0,,0,,
waypoint5',waypoint15',0,0,0,0,1,,0,0,0,0,
waypoint5',waypoint16',0,0,0,,1,0,0,0,,,
waypoint5',waypoint17',0,0,0,,,,0,0,0,0,
waypoint5',waypoint18',0,0,,0,1,0,0,0,0,0,
waypoint5',waypoint19',0,0,0,,1,0,0,0,0,0,
waypoint5',waypoint20',0,,,,1,0,0,0,0,0,
waypoint5',rover0',0,0,0,0,0,,0,0,0,,
waypoint5',rover1',0,,0,0,,0,0,0,,0,
waypoint5',rover2',0,0,0,0,0,0,,0,0,,
waypoint5',rover3',0,0,0,0,0,0,0,0,0,0,
waypoint5',rover4',0,0,0,0,0,0,0,,0,0,
waypoint5',rover5',0,0,0,,0,0,,0,0,0,
waypoint5',rover6',0,0,0,0,0,0,,0,,0,
waypoint5',rover7',,0,0,0,0,0,0,0,0,0,
waypoint5',rover8',,0,0,0,,0,0,0,,,
waypoint5',rover9',,0,0,0,0,,0,0,0,0,
waypoint5',rover10',0,0,0,0,0,0,0,,0,0,
waypoint5',rover11',,0,0,0,,0,0,0,,0,
waypoint5',rover12',0,0,0,0,0,,0,0,,0,
waypoint5',rover13',0,,0,0,0,0,0,0,,0,
waypoint5',rover14',0,0,0,0,0,0,0,0,,0,
waypoint5',rover15',0,0,0,0,0,0,0,0,0,0,
waypoint5',rover16',0,0,,0,,,,0,0,0,
waypoint5',rover17',0,0,,0,,0,0,0,,0,
